Timestamp,log,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB
2021-04-30 10:59:43.769,257307065737:/aws/lambda/compute_python,1014.87,1015,128,50
2021-04-30 10:59:43.107,257307065737:/aws/lambda/compute_python,1025.81,1026,128,51
2021-04-30 10:59:42.395,257307065737:/aws/lambda/fib_python,570.95,571,128,48
2021-04-30 10:59:41.636,257307065737:/aws/lambda/compute_node,1390.12,1391,128,86
2021-04-30 10:59:40.885,257307065737:/aws/lambda/fib_node,4.12,5,128,69
2021-04-30 10:59:40.627,257307065737:/aws/lambda/compute_python,1041.4,1042,128,51
2021-04-30 10:59:38.776,257307065737:/aws/lambda/compute_node,1540.9,1541,128,86
2021-04-30 10:59:38.594,257307065737:/aws/lambda/fib_python,585,586,128,48
2021-04-30 10:59:38.262,257307065737:/aws/lambda/compute_node,1505.06,1506,128,86
2021-04-30 10:59:38.127,257307065737:/aws/lambda/compute_python,1026.85,1027,128,51
2021-04-30 10:59:36.574,257307065737:/aws/lambda/fib_python,598.5,599,128,48
2021-04-30 10:59:36.304,257307065737:/aws/lambda/compute_node,1394.15,1395,128,86
2021-04-30 10:59:35.796,257307065737:/aws/lambda/compute_node,1465.78,1466,128,85
2021-04-30 10:59:35.649,257307065737:/aws/lambda/compute_python,1024.9,1025,128,51
2021-04-30 10:59:34.535,257307065737:/aws/lambda/fib_python,582.61,583,128,48
2021-04-30 10:59:34.463,257307065737:/aws/lambda/compute_node,1347.27,1348,128,86
2021-04-30 10:59:33.967,257307065737:/aws/lambda/compute_python,1033.33,1034,128,50
2021-04-30 10:59:33.496,257307065737:/aws/lambda/compute_node,1488,1489,128,85
2021-04-30 10:59:33.205,257307065737:/aws/lambda/fib_node,11.63,12,128,69
2021-04-30 10:59:33.169,257307065737:/aws/lambda/compute_python,1015.67,1016,128,50
2021-04-30 10:59:32.882,257307065737:/aws/lambda/compute_node,1357.77,1358,128,86
2021-04-30 10:59:32.679,257307065737:/aws/lambda/compute_node,1360.05,1361,128,86
2021-04-30 10:59:32.494,257307065737:/aws/lambda/fib_python,568.14,569,128,48
2021-04-30 10:59:32.488,257307065737:/aws/lambda/compute_python,1049.1,1050,128,50
2021-04-30 10:59:32.302,257307065737:/aws/lambda/compute_python,1015.34,1016,128,50
2021-04-30 10:59:31.765,257307065737:/aws/lambda/fib_node,29.72,30,128,69
2021-04-30 10:59:31.354,257307065737:/aws/lambda/fib_python,566.18,567,128,48
2021-04-30 10:59:31.002,257307065737:/aws/lambda/compute_python,1008.17,1009,128,50
2021-04-30 10:59:30.879,257307065737:/aws/lambda/compute_node,1330.09,1331,128,86
2021-04-30 10:59:30.687,257307065737:/aws/lambda/compute_python,1042.05,1043,128,50
2021-04-30 10:59:30.495,257307065737:/aws/lambda/fib_python,566.77,567,128,48
2021-04-30 10:59:30.445,257307065737:/aws/lambda/fib_node,6.48,7,128,69
2021-04-30 10:59:30.285,257307065737:/aws/lambda/fib_node,54.47,55,128,69
2021-04-30 10:59:30.062,257307065737:/aws/lambda/compute_node,1370.72,1371,128,86
2021-04-30 10:59:29.547,257307065737:/aws/lambda/compute_python,1036.74,1037,128,50
2021-04-30 10:59:29.435,257307065737:/aws/lambda/fib_python,580.46,581,128,48
2021-04-30 10:59:29.059,257307065737:/aws/lambda/compute_node,1462.11,1463,128,86
2021-04-30 10:59:28.785,257307065737:/aws/lambda/fib_node,79.63,80,128,69
2021-04-30 10:59:28.495,257307065737:/aws/lambda/fib_python,572.31,573,128,48
2021-04-30 10:59:28.414,257307065737:/aws/lambda/fib_python,573,573,128,48
2021-04-30 10:59:28.207,257307065737:/aws/lambda/compute_python,1029.48,1030,128,50
2021-04-30 10:59:28.082,257307065737:/aws/lambda/compute_python,1010.67,1011,128,50
2021-04-30 10:59:27.414,257307065737:/aws/lambda/fib_python,572.83,573,128,48
2021-04-30 10:59:27.259,257307065737:/aws/lambda/compute_node,1395.56,1396,128,86
2021-04-30 10:59:27.245,257307065737:/aws/lambda/fib_node,5.81,6,128,68
2021-04-30 10:59:27.163,257307065737:/aws/lambda/compute_node,1492.14,1493,128,86
2021-04-30 10:59:26.642,257307065737:/aws/lambda/compute_python,1006.33,1007,128,50
2021-04-30 10:59:26.494,257307065737:/aws/lambda/fib_python,577.66,578,128,48
2021-04-30 10:59:26.374,257307065737:/aws/lambda/fib_python,585.27,586,128,48
