Timestamp,log,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB
2021-05-03 12:13:33.791,257307065737:/aws/lambda/fib_node,7.38,8,128,70
2021-05-03 12:13:33.515,257307065737:/aws/lambda/fib_python,553.74,554,128,48
2021-05-03 12:13:33.444,257307065737:/aws/lambda/compute_node,1476.13,1477,128,86
2021-05-03 12:13:33.371,257307065737:/aws/lambda/fib_node,16.51,17,128,70
2021-05-03 12:13:32.986,257307065737:/aws/lambda/compute_python,1021.89,1022,128,51
2021-05-03 12:13:32.931,257307065737:/aws/lambda/fib_node,11.54,12,128,70
2021-05-03 12:13:32.535,257307065737:/aws/lambda/fib_python,558.59,559,128,48
2021-05-03 12:13:32.491,257307065737:/aws/lambda/fib_node,7.54,8,128,70
2021-05-03 12:13:31.991,257307065737:/aws/lambda/fib_node,11.59,12,128,70
2021-05-03 12:13:20.526,257307065737:/aws/lambda/compute_python,1035.49,1036,128,51
2021-05-03 12:13:20.364,257307065737:/aws/lambda/compute_node,1422.49,1423,128,86
2021-05-03 12:13:19.656,257307065737:/aws/lambda/fib_python,546.85,547,128,48
2021-05-03 12:13:19.610,257307065737:/aws/lambda/fib_node,12.94,13,128,70
2021-05-03 12:13:19.171,257307065737:/aws/lambda/fib_node,9.7,10,128,70
2021-05-03 12:13:19.046,257307065737:/aws/lambda/compute_python,1008.06,1009,128,51
2021-05-03 12:13:18.711,257307065737:/aws/lambda/fib_node,12.04,13,128,70
2021-05-03 12:13:18.676,257307065737:/aws/lambda/fib_python,554.92,555,128,48
2021-05-03 12:13:18.484,257307065737:/aws/lambda/compute_node,1437.73,1438,128,86
2021-05-03 12:13:18.270,257307065737:/aws/lambda/fib_node,13.31,14,128,70
2021-05-03 12:13:17.810,257307065737:/aws/lambda/fib_node,6.35,7,128,69
2021-05-03 12:13:17.675,257307065737:/aws/lambda/fib_python,554.93,555,128,48
2021-05-03 12:13:17.586,257307065737:/aws/lambda/compute_python,1012.5,1013,128,51
2021-05-03 12:13:17.370,257307065737:/aws/lambda/fib_node,17.43,18,128,69
2021-05-03 12:13:16.930,257307065737:/aws/lambda/fib_node,13.53,14,128,69
2021-05-03 12:13:16.675,257307065737:/aws/lambda/fib_python,565.28,566,128,48
2021-05-03 12:13:16.604,257307065737:/aws/lambda/compute_node,1513.31,1514,128,86
2021-05-03 12:13:16.470,257307065737:/aws/lambda/fib_node,12.66,13,128,69
2021-05-03 12:13:16.126,257307065737:/aws/lambda/compute_python,1010.76,1011,128,51
2021-05-03 12:13:16.010,257307065737:/aws/lambda/fib_node,6.37,7,128,69
2021-05-03 12:13:15.655,257307065737:/aws/lambda/fib_python,549.05,550,128,48
2021-05-03 12:13:15.571,257307065737:/aws/lambda/fib_node,9.35,10,128,69
2021-05-03 12:13:15.133,257307065737:/aws/lambda/fib_node,17.11,18,128,69
